NAME,year,scenario,model,source,fw_months,period
Cherokee,1981,historical,observed,gridMET,0,Historical
Cherokee,1982,historical,observed,gridMET,1,Historical
Cherokee,1983,historical,observed,gridMET,1,Historical
Cherokee,1984,historical,observed,gridMET,1,Historical
Cherokee,1985,historical,observed,gridMET,0,Historical
Cherokee,1986,historical,observed,gridMET,1,Historical
Cherokee,1987,historical,observed,gridMET,0,Historical
Cherokee,1988,historical,observed,gridMET,0,Historical
Cherokee,1989,historical,observed,gridMET,0,Historical
Cherokee,1990,historical,observed,gridMET,0,Historical
Cherokee,1991,historical,observed,gridMET,0,Historical
Cherokee,1992,historical,observed,gridMET,0,Historical
Cherokee,1993,historical,observed,gridMET,0,Historical
Cherokee,1994,historical,observed,gridMET,0,Historical
Cherokee,1995,historical,observed,gridMET,1,Historical
Cherokee,1996,historical,observed,gridMET,0,Historical
Cherokee,1997,historical,observed,gridMET,0,Historical
Cherokee,1998,historical,observed,gridMET,2,Historical
Cherokee,1999,historical,observed,gridMET,1,Historical
Cherokee,2000,historical,observed,gridMET,1,Historical
Cherokee,2001,historical,observed,gridMET,2,Historical
Cherokee,2002,historical,observed,gridMET,0,Historical
Cherokee,2003,historical,observed,gridMET,0,Historical
Cherokee,2004,historical,observed,gridMET,0,Historical
Cherokee,2005,historical,observed,gridMET,0,Historical
Cherokee,2006,historical,observed,gridMET,2,Historical
Cherokee,2007,historical,observed,gridMET,0,Historical
Cherokee,2008,historical,observed,gridMET,0,Historical
Cherokee,2009,historical,observed,gridMET,0,Historical
Cherokee,2010,historical,observed,gridMET,1,Historical
Chickasaw,1981,historical,observed,gridMET,0,Historical
Chickasaw,1982,historical,observed,gridMET,1,Historical
Chickasaw,1983,historical,observed,gridMET,1,Historical
Chickasaw,1984,historical,observed,gridMET,1,Historical
Chickasaw,1985,historical,observed,gridMET,0,Historical
Chickasaw,1986,historical,observed,gridMET,1,Historical
Chickasaw,1987,historical,observed,gridMET,0,Historical
Chickasaw,1988,historical,observed,gridMET,0,Historical
Chickasaw,1989,historical,observed,gridMET,0,Historical
Chickasaw,1990,historical,observed,gridMET,0,Historical
Chickasaw,1991,historical,observed,gridMET,0,Historical
Chickasaw,1992,historical,observed,gridMET,0,Historical
Chickasaw,1993,historical,observed,gridMET,0,Historical
Chickasaw,1994,historical,observed,gridMET,0,Historical
Chickasaw,1995,historical,observed,gridMET,1,Historical
Chickasaw,1996,historical,observed,gridMET,0,Historical
Chickasaw,1997,historical,observed,gridMET,0,Historical
Chickasaw,1998,historical,observed,gridMET,2,Historical
Chickasaw,1999,historical,observed,gridMET,1,Historical
Chickasaw,2000,historical,observed,gridMET,1,Historical
Chickasaw,2001,historical,observed,gridMET,2,Historical
Chickasaw,2002,historical,observed,gridMET,0,Historical
Chickasaw,2003,historical,observed,gridMET,0,Historical
Chickasaw,2004,historical,observed,gridMET,0,Historical
Chickasaw,2005,historical,observed,gridMET,0,Historical
Chickasaw,2006,historical,observed,gridMET,2,Historical
Chickasaw,2007,historical,observed,gridMET,0,Historical
Chickasaw,2008,historical,observed,gridMET,0,Historical
Chickasaw,2009,historical,observed,gridMET,0,Historical
Chickasaw,2010,historical,observed,gridMET,1,Historical
Choctaw,1981,historical,observed,gridMET,0,Historical
Choctaw,1982,historical,observed,gridMET,1,Historical
Choctaw,1983,historical,observed,gridMET,1,Historical
Choctaw,1984,historical,observed,gridMET,1,Historical
Choctaw,1985,historical,observed,gridMET,0,Historical
Choctaw,1986,historical,observed,gridMET,1,Historical
Choctaw,1987,historical,observed,gridMET,0,Historical
Choctaw,1988,historical,observed,gridMET,0,Historical
Choctaw,1989,historical,observed,gridMET,0,Historical
Choctaw,1990,historical,observed,gridMET,0,Historical
Choctaw,1991,historical,observed,gridMET,0,Historical
Choctaw,1992,historical,observed,gridMET,0,Historical
Choctaw,1993,historical,observed,gridMET,0,Historical
Choctaw,1994,historical,observed,gridMET,0,Historical
Choctaw,1995,historical,observed,gridMET,1,Historical
Choctaw,1996,historical,observed,gridMET,0,Historical
Choctaw,1997,historical,observed,gridMET,0,Historical
Choctaw,1998,historical,observed,gridMET,2,Historical
