NAME,period,divergence
Cherokee,Mid-Century,0.33
Cherokee,End-Century,0.82
Chickasaw,Mid-Century,0.19
Chickasaw,End-Century,0.81
Choctaw,Mid-Century,0.27
Choctaw,End-Century,0.79
Colville,Mid-Century,0.23
Colville,End-Century,1.07
Creek,Mid-Century,0.17
Creek,End-Century,0.79
Fort Apache,Mid-Century,0.51
Fort Apache,End-Century,1.64
Kiowa-Comanche-Apache-Fort Sill Apache,Mid-Century,0.29
Kiowa-Comanche-Apache-Fort Sill Apache,End-Century,0.76
Osage,Mid-Century,0.34
Osage,End-Century,0.82
San Carlos,Mid-Century,0.52
San Carlos,End-Century,1.44
Warm Springs,Mid-Century,0.26
Warm Springs,End-Century,1.07
