tribal_name,start_date,end_date,duration_days,year,max_temp_f,min_rh_pct,max_wind_mph,max_bi
Cherokee,2011-06-25,2011-06-27,3,2011,109.67000000000006,21.3,20.132460000000002,74.0
Chickasaw,2011-05-28,2011-05-30,3,2011,104.27000000000007,22.3,24.158952000000003,76.0
Chickasaw,2011-06-17,2011-06-20,4,2011,111.29000000000002,12.5,25.501116000000003,101.0
Chickasaw,2011-06-25,2011-06-27,3,2011,108.95,18.3,19.685072,88.0
Chickasaw,2013-06-23,2013-06-25,3,2013,104.09000000000002,18.3,17.89552,63.0
Choctaw,2011-06-08,2011-06-10,3,2011,99.23000000000005,23.5,16.105968,55.0
Choctaw,2011-06-17,2011-06-20,4,2011,109.13000000000004,19.0,26.84328,84.0
Creek,2011-06-25,2011-06-27,3,2011,111.83000000000004,18.0,20.132460000000002,80.0
Creek,2014-05-04,2014-05-06,3,2014,92.93000000000004,8.5,18.119214,90.0
Fort Apache,2012-05-23,2012-05-25,3,2012,83.75,4.7,22.145706,138.0
Fort Apache,2014-06-16,2014-06-18,3,2014,85.55,5.7,18.119214,129.0
Kiowa-Comanche-Apache-Fort Sill Apache,2006-05-27,2006-05-29,3,2006,98.69000000000003,19.5,19.908766000000004,75.0
Kiowa-Comanche-Apache-Fort Sill Apache,2008-06-02,2008-06-04,3,2008,102.65,15.9,22.816788000000003,81.0
Kiowa-Comanche-Apache-Fort Sill Apache,2011-06-24,2011-06-27,4,2011,112.19000000000003,9.200000000000001,20.132460000000002,102.0
Kiowa-Comanche-Apache-Fort Sill Apache,2013-06-21,2013-06-25,5,2013,104.99000000000002,17.7,18.566602000000003,72.0
Kiowa-Comanche-Apache-Fort Sill Apache,2014-05-19,2014-05-21,3,2014,98.15,13.200000000000001,22.593094000000004,112.0
Osage,2011-06-07,2011-06-09,3,2011,107.51000000000008,14.100000000000001,17.671826000000003,76.0
Osage,2011-06-25,2011-06-27,3,2011,112.01000000000008,16.1,18.342908000000005,77.0
Osage,2014-05-04,2014-05-06,3,2014,97.25,4.9,16.105968,88.0
