ecoregion_name,level2_name,num_tribes
Cross Timbers,SOUTH CENTRAL SEMI-ARID PRAIRIES,6
Central Great Plains,SOUTH CENTRAL SEMI-ARID PRAIRIES,4
Arkansas Valley,OZARK/OUACHITA-APPALACHIAN FORESTS,4
Central Irregular Plains,TEMPERATE PRAIRIES,3
Arizona/New Mexico Mountains,UPPER GILA MOUNTAINS,2
East Central Texas Plains,SOUTHEASTERN USA PLAINS,2
Boston Mountains,OZARK/OUACHITA-APPALACHIAN FORESTS,2
Sonoran Basin and Range,WARM DESERTS,2
Columbia Plateau,COLD DESERTS,2
South Central Plains,SOUTHEASTERN USA PLAINS,2
Blue Mountains,WESTERN CORDILLERA,1
Eastern Cascades Slopes and Foothills,WESTERN CORDILLERA,1
Cascades,WESTERN CORDILLERA,1
Flint Hills,SOUTH CENTRAL SEMI-ARID PRAIRIES,1
Madrean Archipelago,WESTERN SIERRA MADRE PIEDMONT,1
Ouachita Mountains,OZARK/OUACHITA-APPALACHIAN FORESTS,1
Northern Rockies,WESTERN CORDILLERA,1
Ozark Highlands,OZARK/OUACHITA-APPALACHIAN FORESTS,1
Southwestern Tablelands,SOUTH CENTRAL SEMI-ARID PRAIRIES,1
