NAME,fire_count,total_acres,avg_fire_size,max_fire_size,first_year,last_year,avg_acres_per_year,fires_per_decade,risk_score
Upper Lake,1,427048,427048.0,427048,2018,2018,427048.0,10.0,4270480.0
Robinson,1,427048,427048.0,427048,2018,2018,427048.0,10.0,4270480.0
Enterprise,1,316556,316556.0,316556,2020,2020,316556.0,10.0,3165560.0
Galena,1,241856,241856.0,241856,2004,2004,241856.0,10.0,2418560.0
Viejas,3,547666,182555.33333333334,268362,2001,2003,182555.33333333334,10.0,1825553.3333333335
Tanana,1,176909,176909.0,176909,2015,2015,176909.0,10.0,1769090.0
Mesa Grande,1,167551,167551.0,167551,2007,2007,167551.0,10.0,1675510.0
Telida,1,159040,159040.0,159040,2009,2009,159040.0,10.0,1590400.0
Hughes,1,143047,143047.0,143047,2015,2015,143047.0,10.0,1430470.0
Evansville,1,137996,137996.0,137996,2004,2004,137996.0,10.0,1379960.0
Nenana,1,125276,125276.0,125276,2006,2006,125276.0,10.0,1252760.0
Round Valley,2,1112491,556245.5,1068802,2012,2020,123610.11111111111,2.2222222222222223,1236101.1111111112
Sycuan,3,290246,96748.66666666667,268362,2001,2003,96748.66666666667,10.0,967486.6666666667
Tetlin,1,95688,95688.0,95688,1990,1990,95688.0,10.0,956880.0
North Fork,2,382447,191223.5,381441,2017,2020,95611.75,5.0,956117.5
Jamul,1,90443,90443.0,90443,2007,2007,90443.0,10.0,904430.0
Barona,5,875448,175089.6,268362,1998,2007,87544.8,5.0,875448.0
Inaja and Cosmit,2,435913,217956.5,268362,2003,2007,87182.6,4.0,871826.0
Dry Creek,1,77780,77780.0,77780,2019,2019,77780.0,10.0,777800.0
Cheyenne and Arapaho,43,1860675,43271.51162790698,1047464,1998,2024,68913.88888888889,15.925925925925926,689138.8888888889
Montgomery Creek,1,62340,62340.0,62340,1992,1992,62340.0,10.0,623400.0
Pit River,1,62340,62340.0,62340,1992,1992,62340.0,10.0,623400.0
Hopland,1,48920,48920.0,48920,2018,2018,48920.0,10.0,489200.0
San Carlos,109,1754545,16096.743119266055,563664,1987,2024,46172.23684210526,28.68421052631579,461722.36842105264
San Ildefonso,1,44279,44279.0,44279,2000,2000,44279.0,10.0,442790.0
Nulato,2,43304,21652.0,35728,2015,2015,43304.0,20.0,433040.0
San Pasqual,4,206982,51745.5,55995,2003,2007,41396.4,8.0,413964.0
Circle,2,242017,121008.5,202572,2004,2009,40336.166666666664,3.3333333333333335,403361.6666666667
Fort Apache,104,1477368,14205.461538461539,563664,1987,2023,39928.86486486487,28.108108108108105,399288.64864864864
Puukapu,1,39849,39849.0,39849,2021,2021,39849.0,10.0,398490.0
Colville,71,1435093,20212.577464788734,276249,1985,2023,36797.256410256414,18.205128205128204,367972.5641025641
Redwood Valley,1,36545,36545.0,36545,2017,2017,36545.0,10.0,365450.0
Lime Village,2,361019,180509.5,193968,2013,2022,36101.9,2.0,361019.0
Warm Springs,66,1316056,19940.242424242424,197732,1985,2021,35569.08108108108,17.83783783783784,355690.8108108108
Paiute (UT),16,603142,37696.375,348772,1995,2012,33507.88888888889,8.88888888888889,335078.8888888889
Northern Cheyenne,32,1135723,35491.34375,253413,1984,2021,29887.447368421053,8.421052631578947,298874.4736842105
Santa Ysabel,5,515125,103025.0,268362,1990,2007,28618.055555555555,2.7777777777777777,286180.55555555556
