NAME,area_km2,edge_ratio,nearest_urban,distance_to_urban_km,road_length_km,road_density_km_km2,proximity_score,access_score,complexity_score,wui_pressure_index,pressure_category,pressure_rank
Cherokee,18034.680302093435,0.04455219862142513,"Pryor Creek, OK",13.600499050635946,6377.2,0.354,7.738252893263953,8.571428571428571,3.529065917643047,72.75919144301831,High Pressure,2
Chickasaw,19244.865181549143,0.04917924656843156,"Sulphur, OK",26.172206721785983,5300.9,0.275,5.647592591307944,6.65859564164649,3.8955833447140416,56.966829284139784,Moderate Pressure,4
Choctaw,28268.289325038433,0.03556209645039045,"McAlester, OK",54.37271315079224,5368.2,0.19,0.9578813103594872,4.600484261501211,2.816942517459831,26.204753302474494,Low Pressure,8
Colville,5659.519347450464,0.07482748816972176,"Omak, WA",52.91558007391808,593.2,0.105,1.2002008391120307,2.542372881355932,5.927230223731579,25.477232880406397,Low Pressure,9
Creek,12394.230970219758,0.048090697206728227,"Okmulgee, OK",5.817873843038085,5119.0,0.413,9.032494375180192,10.0,3.80935724205405,84.3465330545537,High Pressure,1
Fort Apache,6814.918774489102,0.08033964908145945,"Pinetop-Lakeside, AZ",28.293855803253336,483.9,0.071,5.294764827146334,1.7191283292978208,6.363859162551735,41.88914161638766,Moderate Pressure,7
Kiowa-Comanche-Apache-Fort Sill Apache,16651.10202555572,0.0419337425679695,"Altus, OK",35.62852710355225,3849.4,0.231,4.075017556803685,5.593220338983052,3.321652943625362,44.9011591156376,Moderate Pressure,5
Osage,5967.4091618834755,0.07035515904577505,"Bartlesville, OK",42.10725083467167,1349.3,0.226,2.997613367468711,5.472154963680388,5.572968374211707,43.65693040044411,Moderate Pressure,6
San Carlos,7579.347878610062,0.0814712829230804,"Globe, AZ",60.13271337953863,334.5,0.044,0.0,1.0653753026634383,6.453498070288949,15.607724864756047,Low Pressure,10
Warm Springs,2649.777309140061,0.1262436000378824,"Madras, OR",36.80211373245939,702.1,0.265,3.8798514711657677,6.416464891041162,10.0,59.150106290903175,Moderate Pressure,3
